,x,y,reads_per_cell,genes_per_cell,cluster_id,cluster_name
0,35.4213677181672,14117.2740041446,210,140,1,eL2/3
1,53.9952667030766,5090.07448440873,853,348,5,eL6-2
2,35.4437207595633,6581.13686817723,150,89,-1,
3,47.0582867930465,9057.86761582632,246,125,11,Astro-2
4,48.5279643462432,10542.7562613772,373,212,4,eL6-1
5,34.8083698746057,13471.7935995077,335,196,1,eL2/3
6,36.5236257374428,8217.53514914264,476,236,13,PVALB
7,43.8698893285165,10146.9525202133,314,178,10,Endo
8,41.7967032967033,14328.2273940345,275,148,12,VIP
9,74.1711610486891,2439.92696629213,120,48,-1,
10,55.8520744680851,1167.10313829787,544,225,14,SST
11,40.6805515379423,1649.5557805419,150,79,-1,
12,80.3113574129613,11407.6602164559,1142,432,7,Astro-1
13,41.0804168305151,15518.7981386813,357,192,6,Smc
14,62.7255312780605,3131.69344507632,500,262,5,eL6-2
15,67.1221886999451,4788.27790729567,219,114,10,Endo
16,73.6908261230295,7496.63108924973,915,390,4,eL6-1
17,78.2243262699928,10363.4634573852,699,319,2,eL4
18,51.3714137797144,11867.7591785668,513,238,1,eL2/3
19,73.4639145286721,1420.67337742569,91,60,-1,
20,82.6758519547682,12720.3802632087,538,264,1,eL2/3
21,66.2630006494912,2102.1479108032,393,194,7,Astro-1
22,88.0692385021362,5753.05177180196,1271,489,9,Micro
23,87.2237350861688,9438.63715201061,806,378,2,eL4
24,91.3248053392659,363.832591768632,263,150,4,eL6-1
25,120.191919875482,4303.51259840744,1054,434,5,eL6-2
26,80.4189422318612,5491.94686514196,1433,516,7,Astro-1
27,108.098143236074,10835.4361068454,901,375,10,Endo
28,145.719238458742,13166.647264631,352,168,2,eL4
29,111.710776077381,3540.11666136869,404,192,8,Oligo
30,97.8680712572799,4530.70205549846,853,364,5,eL6-2
31,120.514731984381,14383.7663590108,262,145,12,VIP
32,131.416273078575,15642.9306569343,303,144,6,Smc
33,115.205768217314,915.153356010157,205,127,8,Oligo
34,117.590595986822,506.021182172126,966,403,3,eL5
35,122.786520592828,7300.96314024624,988,394,3,eL5
36,143.440024971016,15536.5445465085,156,91,-1,
37,149.63058117092,4681.36620201587,803,357,5,eL6-2
38,161.097932746383,8380.50703952217,640,284,11,Astro-2
39,153.092485960048,14238.3678111893,185,102,-1,
40,177.731134907926,3116.07901321057,392,194,8,Oligo
41,160.70645128959,12119.4706501403,1597,525,13,PVALB
42,145.252299236113,12481.8674558006,934,345,1,eL2/3
43,194.159570123041,8785.18389748303,1161,448,2,eL4
44,209.884506376948,10047.0793103448,531,238,5,eL6-2
45,187.274765063571,5234.9990326147,690,308,5,eL6-2
46,194.205392446838,9669.85746754258,1001,407,7,Astro-1
47,228.502655477641,13681.4709736751,899,372,12,VIP
48,204.823994513696,6367.41167453306,528,265,3,eL5
49,205.281103347586,10205.5837939305,326,157,11,Astro-2
50,215.878006062647,3458.77723139104,905,391,5,eL6-2
51,223.197228763523,5605.15385140439,964,400,4,eL6-1
52,241.160468915153,1796.55280099933,149,85,-1,
53,256.456679018881,3665.32865713782,516,238,15,Reln
54,257.311243327637,11690.2561765513,1195,413,12,VIP
55,228.11113951883,9920.52483828906,1148,441,2,eL4
56,273.114752040176,14092.8173676501,347,164,11,Astro-2
57,267.815942866145,15645.4232526388,508,208,6,Smc
58,281.507966370745,3035.52948439062,212,106,8,Oligo
59,273.61211621825,7983.45820943646,541,231,5,eL6-2
60,248.999805270674,83.5879202907958,616,310,0,HPC
61,276.656118641666,2628.54196382185,331,162,8,Oligo
62,255.443027313199,11228.3564553002,499,241,10,Endo
63,303.400073670855,12605.5787254942,865,359,1,eL2/3
64,306.087398745356,15388.3206650831,609,279,11,Astro-2
65,265.860980036298,3325.44013481981,592,290,8,Oligo
66,285.317863170193,9413.06166428664,605,281,2,eL4
67,309.266033690658,994.265972434916,188,118,-1,
68,283.96545815075,4796.73091140542,1284,466,5,eL6-2
69,299.56179651897,7247.54400702795,337,181,3,eL5
70,333.665774299835,10311.9103377265,448,215,2,eL4
71,309.972677194271,12317.4490635329,721,336,1,eL2/3
72,321.219968373412,5324.45913081411,423,211,4,eL6-1
73,310.66086554306,13039.6624844613,968,397,1,eL2/3
74,333.280079549221,1801.14028836593,200,111,-1,
75,335.531506050445,4062.32436215192,1024,400,5,eL6-2
76,331.311091302687,8398.0168937561,559,207,11,Astro-2
77,361.601286024888,12710.9044270713,526,254,10,Endo
78,358.90151585604,5846.14253386652,782,340,5,eL6-2
79,329.547002600066,9606.79627934229,708,321,2,eL4
80,362.417736786094,10448.7274210713,573,259,2,eL4
81,362.097146791096,14980.0424539126,602,264,11,Astro-2
82,364.242785045813,3416.74300553677,658,347,5,eL6-2
83,351.13434231783,2277.96258821529,190,113,-1,
84,391.921944379528,11900.398324041,900,384,1,eL2/3
85,366.677865100613,4449.05747473875,906,414,5,eL6-2
