,Unnamed: 0,Unnamed: 0.1,n_genes,percent_mito,n_counts,scale_SLC17A7,scale_MGP,scale_GAD1,scale_NOV,scale_RASGRF2,scale_RORB,scale_CUX2,scale_PLCXD2,scale_SULF2,scale_CTGF,scale_PCP4,scale_SEMA3E,scale_NPY,scale_SST,scale_PVALB,scale_VIP,scale_CALB2,scale_CCK,scale_RELN,scale_FOS,scale_EGR1,scale_PROK2,scale_EGR2,scale_BDNF,scale_GJA1,scale_CTSS,scale_MBP,scale_FLT1,leiden_pca,leiden_scvi,x,y,z
64,64,74,28,0,403678,0.03759032,0.0069521240000000005,0.045012414,0.008191816999999999,0.010702653999999999,0.013793993000000001,0.03327044,0.012848966000000002,0.019327572,0.0176646,0.008876073,0.01594217,0.04498288,0.28655025,0.02184778,0.028830607999999997,0.009293613000000001,0.05787801,0.041293085,0.05247742,0.0499706,0.033665862000000005,0.02221967,0.011393114,0.018390616000000002,0.030827045,0.045090425999999996,0.01511587,10,11,8.736,94.926,2.205
69,69,79,28,0,331110,0.06392883,0.0048073809999999995,0.031240981,0.004079646,0.012982381999999999,0.012404226,0.020152377,0.018401902,0.026378796,0.020046223000000002,0.028998565,0.03003287,0.034991976,0.17619602,0.028107649,0.015694272,0.008283491,0.06163324,0.005263255,0.03458298,0.05287189,0.024965782000000002,0.01602627,0.005614317,0.04073124,0.040782742000000004,0.15175024,0.02905045,10,11,8.97,7.254,3.465
75,75,85,28,0,295733,0.0495767,0.003226116,0.010734344,0.0029283020000000002,0.011224561000000001,0.009875799000000001,0.00479007,0.006764705,0.029785585,0.031176556,0.03023604,0.033847127000000005,0.029772917000000003,0.06553679,0.017792867,0.009505076,0.006950075,0.044065937,0.0035341590000000003,0.018056836,0.028254103,0.017524935,0.013064412,0.003502264,0.029145509,0.051506825,0.31235415,0.12526724,5,11,9.594,73.476,2.205
88,88,98,28,0,292395,0.040056113,0.007644749,0.069353424,0.015448293,0.01091669,0.011338341000000002,0.021480639,0.014957458,0.0194367,0.014793088999999999,0.016262595,0.01534379,0.034338493,0.25048417,0.037672187999999995,0.014816833,0.008156666,0.049539424000000006,0.08084069,0.02660355,0.033480443,0.023116145,0.01830786,0.004148387,0.019972766,0.034084927,0.08893403400000001,0.018471558,10,11,11.075999999999999,86.26799999999999,1.89
89,89,99,28,0,147458,0.13031387,0.0037836659999999998,0.006280010999999999,0.024292411,0.016270736,0.01835448,0.034156877999999995,0.040650077,0.028408372999999997,0.01780697,0.03305785,0.014711698999999998,0.021370992000000002,0.010907294,0.022447785,0.008256922,0.010473808000000001,0.116739154,0.023624044,0.07378853,0.12153783,0.019731313,0.027946781,0.009653756999999999,0.02586079,0.034766912000000004,0.09059572,0.014211356999999999,2,6,11.232000000000001,103.506,2.205
99,99,109,28,0,374311,0.04234361,0.006914251,0.0947982,0.01078876,0.011571584,0.014111786999999999,0.020248493,0.016392965,0.024102123,0.02233666,0.013545851000000001,0.013184905,0.028145003999999998,0.03503705,0.12097535,0.01663028,0.00616569,0.070174344,0.020519568000000002,0.059146065,0.039315897999999995,0.022405852,0.025362741,0.009802982,0.06504539,0.041930083,0.11962837,0.02937615,7,9,11.856,21.84,3.465
110,110,120,28,0,191163,0.15318859,0.004473363,0.008393951,0.009434389,0.018510671,0.020313986000000003,0.050555587,0.04170109,0.029371625,0.015407825,0.029672700000000003,0.010541988,0.019332077,0.007907884,0.025129536,0.005955838000000001,0.011432688,0.11965102,0.011286658,0.057318814,0.1329675,0.01943718,0.0233789,0.006018841,0.025841545,0.03636814,0.093451455,0.012956200000000001,7,6,13.494000000000002,101.478,3.15
112,112,122,28,0,399612,0.011027361999999999,0.0011762230000000001,0.001368804,0.005921136,0.010365339,0.00934126,0.01465223,0.006326475,0.025822752999999997,0.014348112,0.0051126190000000005,0.021549586000000003,0.01748078,0.000860401,0.004287372,0.006851950999999999,0.012980749,0.015688602,0.001364821,0.005380762,0.009173833000000001,0.005135112,0.004826309,0.0013500279999999999,0.021301452000000002,0.05259786,0.45222299999999993,0.26148504,5,12,13.728,72.306,3.15
126,126,136,28,0,151893,0.06745456,0.006468164,0.078281395,0.021445627999999998,0.013690484,0.013535934,0.014765223000000001,0.014414663000000001,0.029435133999999998,0.030931383,0.029377619,0.03871295,0.034316737,0.016614723999999997,0.09396859,0.014663253999999999,0.0074533509999999996,0.07440098,0.006678531999999999,0.022826636,0.037318963999999996,0.019016443,0.015372047,0.003814014,0.04940352,0.04774084,0.16269603,0.035202199999999996,7,9,14.742,105.3,1.89
145,145,155,28,0,383835,0.033270102,0.005179896,0.05823176,0.00770014,0.012324928999999998,0.011751306999999999,0.021368727,0.010715487,0.025711808,0.02179392,0.010447686,0.024836282999999997,0.055123925,0.17466362,0.03204497,0.02696769,0.027657862999999998,0.040818907,0.005996067,0.015210696000000001,0.03346302,0.017685302,0.010861757,0.003454213,0.021928068,0.034863934,0.17625463,0.07967329,10,11,18.096,83.538,2.205
158,158,168,28,0,209223,0.054045737,0.0044923770000000005,0.010345099,0.01071856,0.02038497,0.01892073,0.032254927,0.012633489,0.03366166,0.023133763999999998,0.00842998,0.012035697,0.036796518,0.16066979999999997,0.01609209,0.010774633,0.011659478000000001,0.05499359,0.025406143,0.032186217999999996,0.051260807,0.025186747000000002,0.020338729,0.005142905,0.17421238,0.04414239,0.077803835,0.012276678000000001,10,11,19.734,110.76,2.205
166,166,176,28,0,319330,0.06676891,0.005056317,0.035181813,0.021985007,0.015083097,0.015345785,0.027915454,0.021407185,0.027960286,0.021941502,0.020929268,0.03174051,0.043616965,0.13260314,0.037610095,0.016758967,0.010485953999999999,0.07711132,0.038132764,0.037323173,0.058008946,0.022409192999999997,0.022419684,0.004985801,0.050579347000000004,0.038003396,0.08564283,0.012993296000000001,10,11,20.358,2.262,1.89
171,171,181,28,0,846155,0.039074782,0.009821443000000001,0.07069275,0.011805131000000002,0.01258107,0.011658003,0.034139227,0.00999962,0.01868079,0.010355462,0.005458659,0.005843428,0.04793451,0.33288437,0.026730979,0.025704259,0.010779583999999998,0.051711142,0.017737236,0.037953947,0.05023818,0.034130078,0.017663456,0.007272865999999999,0.022758538,0.026724536,0.042911757,0.006754181,10,11,21.215999999999998,94.22399999999999,2.52
175,175,185,28,0,337313,0.109186485,0.004184227,0.010763135,0.023999367,0.014892427,0.01854371,0.032509584,0.030717239,0.031181822999999997,0.025612336,0.040611666,0.03740198,0.027783196,0.06412502,0.022887614,0.009405731,0.009105772,0.102562405,0.009595225,0.033045907,0.077628374,0.02083852,0.016637841,0.004059237,0.028282424,0.04565363,0.123795435,0.024989697999999998,1,11,21.684,21.372,2.52
184,184,195,28,0,232592,0.083172925,0.004051294,0.019574638000000002,0.009775335999999999,0.016046748,0.021106757,0.049304374000000005,0.026414346000000002,0.0325564,0.025813093,0.011947422,0.02780823,0.032728553,0.03864739,0.03559103,0.014539476,0.009180396,0.10773522,0.015532088999999999,0.05377529,0.08857311,0.023401877,0.028374096,0.007587541,0.05018285,0.0467833,0.09666146,0.023134734,10,11,22.854,1.4040000000000001,2.52
211,211,222,28,0,373291,0.07768516,0.004076389000000001,0.023856346,0.025049731000000002,0.012327201999999999,0.013925101,0.009192714,0.013541586999999999,0.029162938,0.024117276,0.033130515,0.019035446,0.034324184,0.03213548,0.037927475,0.025353327000000002,0.012374342,0.08475606,0.006333774,0.035856523,0.050047774,0.018777791000000002,0.018579021,0.005742858000000001,0.02178861,0.04432278,0.20377782,0.08280177400000001,1,12,27.924,113.568,2.205
227,227,238,28,0,740746,0.007970956999999999,0.001142299,0.004070799999999999,0.005331616999999999,0.006553133,0.009174782,0.003567397,0.003532933,0.024717579,0.013045852,0.0038077370000000003,0.028791845,0.024101706,0.010343919,0.012338832,0.012948713999999998,0.010433978,0.024983134,0.002173602,0.009109508,0.007192581,0.00868502,0.011571383000000001,0.002846944,0.023848359,0.05745145,0.4257404,0.24452357,5,12,29.328000000000003,88.764,2.835
235,235,246,28,0,361189,0.04251917,0.005648996,0.047321264,0.029480806000000002,0.009630053000000001,0.015053543,0.031428386,0.01793369,0.0221047,0.021434953,0.013041144,0.03024971,0.026920091,0.16524373,0.052769072,0.020890217,0.00631131,0.06462624,0.05909132,0.05087880400000001,0.044343174000000006,0.023158542999999997,0.024214182,0.008867468,0.021004497999999996,0.03782868,0.08208378,0.025922496,10,11,30.498,12.324000000000002,2.205
253,253,264,28,0,666109,0.021441946,0.002459498,0.013833208,0.018389719,0.010561101000000002,0.013462911000000001,0.012189755,0.006499325,0.02883492,0.02444582,0.008197053000000001,0.02148451,0.02990565,0.008199291,0.019266808,0.02081617,0.014299735,0.03637439,0.007621045999999999,0.007782361,0.012038877,0.009915968,0.009073138,0.002195685,0.02724877,0.05542159,0.36386916,0.19417158,5,12,33.15,68.016,1.89
254,254,265,28,0,804654,0.03243017,0.005848466,0.03558431,0.010375226,0.009689561,0.011963868999999999,0.02349911,0.014414932,0.016652761000000002,0.01156204,0.012182003,0.012001788000000001,0.042359456,0.31885257,0.015667949,0.02203473,0.009509683,0.042335443,0.102483496,0.04305716,0.037878512999999996,0.02730197,0.020001043,0.008681064,0.012820736000000001,0.027516707999999997,0.06158381,0.011711431999999999,10,11,33.306,112.164,2.205
261,261,272,28,0,235936,0.07597238,0.004801673,0.024452327000000003,0.00708139,0.014200764,0.014349536999999999,0.030977886,0.016382538000000002,0.030078951,0.029250602999999997,0.03143925,0.029288834,0.025476504,0.12858787,0.023010336,0.006596015,0.008015525,0.055301152,0.0062963690000000004,0.012482213,0.035763763,0.012962438,0.004914778,0.001902255,0.037138183,0.048326417999999996,0.22063875,0.06431131,10,11,33.774,117.46799999999999,2.205
268,268,280,28,0,574968,0.03506689,0.012975583999999998,0.16689417,0.021294102000000002,0.008837550999999999,0.012414371,0.028033901,0.015288613999999999,0.018927712,0.01982466,0.015460297,0.03669371,0.017802777,0.031310655,0.17193889999999998,0.016652357,0.005262235,0.06565807,0.035702843,0.035699416,0.02884684,0.018313771,0.02368954,0.005957105999999999,0.02138469,0.03405202,0.076077856,0.019939383,7,9,34.632,5.6160000000000005,2.52
275,275,287,28,0,774427,0.07589438,0.006899712,0.07036809599999999,0.012847506000000002,0.013034875,0.012366014,0.016058559,0.025132492000000003,0.020826485,0.012864748,0.034187518,0.018588524,0.036965903,0.21270279999999997,0.04068726,0.015389025,0.010098411,0.072412,0.014918013,0.05726529,0.07358731,0.02186118,0.01655297,0.007253975,0.020586275,0.022238847000000003,0.05267154,0.005740325,10,11,35.802,13.26,2.205
282,282,294,28,0,392969,0.008024569,0.005736055,0.042422395,0.018645454,0.0058543580000000005,0.007382255,0.005551089,0.00278511,0.018448906,0.011396644,0.004262735,0.011224223,0.015739856,0.004082883,0.026719312999999998,0.003523717,0.003061699,0.026131887000000003,0.002231061,0.008877503,0.005140933,0.009985200999999999,0.0070676590000000004,0.0021188739999999998,0.019349044,0.059808115999999995,0.41743928,0.24698918,5,9,37.284,88.53,2.205
286,286,298,28,0,256084,0.047478735,0.0037333109999999996,0.018419532,0.03632872,0.01152392,0.007625221,0.002582043,0.0020720029999999998,0.028913262999999998,0.017381473999999997,0.014837968,0.013149548999999998,0.03472028,0.0987242,0.02326528,0.006861495,0.006805846,0.03204487,0.021466097000000003,0.010787483999999998,0.018839914,0.023059193,0.018302487,0.0031437640000000003,0.11410616,0.046577524,0.2800661,0.05718351,10,11,37.361999999999995,115.83,2.52
288,288,300,28,0,602919,0.016448189,0.005454859,0.034351222,0.020440888,0.006699455,0.009830667,0.011336791,0.0055395309999999994,0.023033893,0.025100552999999998,0.011609715,0.041459687,0.018315556,0.00633962,0.029362782999999996,0.00513346,0.003484197,0.03242846,0.003011583,0.014871645,0.008469431,0.011124365,0.009295181999999999,0.003129682,0.01812053,0.06006818,0.34800696,0.21753289999999997,5,9,37.518,101.01,1.89
328,328,341,28,0,674303,0.06523776,0.005751674,0.04614459,0.005646671,0.012345313,0.012917191000000001,0.018590327,0.013706483,0.025842339,0.023907896,0.028887987,0.025244111,0.029138737999999997,0.17932920000000002,0.033374302,0.011352803,0.007663286,0.05858781,0.012114075,0.01828781,0.037168458,0.017961642,0.010228963,0.002799575,0.027864838,0.042702563,0.17404775,0.05315582,10,11,42.666000000000004,65.52,1.89
334,334,347,28,0,241925,0.055347543,0.008583103,0.070420966,0.016684853,0.010185069,0.009740003,0.022040177,0.014275896000000001,0.025725502999999997,0.03688842,0.03408944,0.045518927,0.021037456,0.012096873000000001,0.059818755999999994,0.007455921,0.005377982,0.044549797,0.0028633070000000003,0.024543297000000002,0.033390455,0.013290065,0.01301788,0.003573546,0.019302173,0.043760587000000004,0.23118916,0.11523284,1,9,43.523999999999994,71.83800000000001,3.465
348,348,362,28,0,745726,0.039865237000000005,0.008967677,0.08290888,0.00854113,0.013110712,0.00930007,0.027895447,0.013992300000000001,0.021206902000000003,0.011090959,0.008786143,0.006890510999999999,0.05537972,0.28024846,0.037518386,0.021852452,0.011147438,0.04161883,0.005146174,0.032761417,0.049996145,0.028759563,0.014889966000000001,0.005804792,0.023466246,0.028454327999999997,0.09328710000000001,0.017113036,10,11,45.942,49.608000000000004,2.205
354,354,368,28,0,397203,0.05108413,0.00547728,0.07044743,0.023018736,0.013267823,0.015000348,0.012494925,0.015602244,0.028719488999999997,0.027934933,0.021226422999999998,0.021440748,0.04224594,0.024868817999999997,0.09343087,0.020894216,0.00745295,0.07597659,0.017320426,0.04043984,0.035360586,0.022673601,0.025608286,0.00767097,0.059645355,0.04696026,0.13707145,0.036665313,7,9,47.19,41.262,2.205
363,363,377,28,0,434478,0.06564258,0.0030124270000000002,0.007932923,0.018558338,0.011139233,0.013890723999999998,0.005073635999999999,0.010483302,0.030559469,0.027879115,0.02889582,0.020835266,0.029360171,0.05841423,0.018881794,0.009898524,0.007158165,0.06930034,0.008086761,0.04296830000000001,0.042971127000000005,0.01904761,0.020316266,0.007612868,0.027620822000000003,0.046588063,0.24334571,0.10452646,10,11,49.373999999999995,41.808,2.205
387,387,401,28,0,453698,0.046838183,0.003644396,0.03325976,0.025750872,0.013899348999999998,0.016779322,0.015528682,0.01505658,0.032481063,0.024308207999999998,0.012956212,0.013925092,0.04115414,0.009387205,0.039246406,0.05422173,0.012374646000000001,0.07489153,0.009352688,0.045110725,0.040320892000000004,0.020106416000000002,0.026226481,0.009793411,0.044815235,0.047434304000000004,0.19657531,0.07456116,4,12,56.394,66.92399999999999,2.52
