,Unnamed: 0,Unnamed: 0.1,n_genes,percent_mito,n_counts,scale_SLC17A7,scale_MGP,scale_GAD1,scale_NOV,scale_RASGRF2,scale_RORB,scale_CUX2,scale_PLCXD2,scale_SULF2,scale_CTGF,scale_PCP4,scale_SEMA3E,scale_NPY,scale_SST,scale_PVALB,scale_VIP,scale_CALB2,scale_CCK,scale_RELN,scale_FOS,scale_EGR1,scale_PROK2,scale_EGR2,scale_BDNF,scale_GJA1,scale_CTSS,scale_MBP,scale_FLT1,leiden_pca,leiden_scvi,x,y,z
64,64,74,28,0,403678,0.04137265,0.005579495,0.03315691,0.009286972,0.011024141000000001,0.014001305,0.036104355,0.01290759,0.019788777,0.017218543,0.007951762,0.016389802,0.04090632,0.28261554,0.018556246999999998,0.037050825,0.008605887,0.06666763,0.029049477,0.051806442,0.055105537,0.03325246,0.023901163,0.012716907,0.020537822,0.03310623,0.045258652,0.016080558000000002,10,11,8.736,94.926,2.205
69,69,79,28,0,331110,0.071488105,0.004747888,0.029191467999999998,0.003541392,0.012584284,0.010645996999999999,0.015825948,0.019564845,0.025116425,0.021530418,0.032365136,0.025679255,0.029742485,0.14360708,0.02159109,0.010627903000000001,0.007288357,0.056210946,0.0036663090000000004,0.046166465,0.060303777,0.02218565,0.01706053,0.006940376999999999,0.04009528,0.04205213,0.17934412,0.040836304,10,11,8.97,7.254,3.465
75,75,85,28,0,295733,0.038797878,0.002303104,0.006383206999999999,0.005671098,0.009342504,0.009892956999999999,0.007575149000000001,0.009847263,0.027930507,0.025943672,0.019641545,0.031230602000000003,0.027839726000000002,0.07218763,0.012765057,0.010813676999999999,0.006586394000000001,0.0361389,0.003196151,0.015348023,0.021873842999999997,0.013260188000000001,0.010466605,0.002747173,0.028911501000000003,0.049912054000000004,0.32795805,0.16543551,5,11,9.594,73.476,2.205
85,85,95,28,0,303576,0.042811117999999995,0.003010883,0.014728224,0.004176061,0.010351797,0.009638886,0.011792913,0.011835508,0.028352197000000003,0.034598146,0.02134341,0.048239958,0.022839467999999998,0.008517420999999999,0.023419943,0.0036408129999999997,0.0056678380000000006,0.035558099999999995,0.0025275939999999998,0.010133768000000001,0.018995903,0.009257843,0.00655491,0.001768835,0.031755246,0.055293858,0.35478443,0.1684049,1,5,10.686,20.202,2.835
88,88,98,28,0,292395,0.038267132,0.007854531,0.06748821,0.017334245,0.010162267,0.010817169,0.025256831,0.013620365,0.01885372,0.016961042,0.012307717,0.012808998,0.026068663,0.23115924,0.04122942,0.017240167,0.006176053000000001,0.045217585,0.08451252,0.029505583999999998,0.029399658,0.020872202,0.019258853,0.004510163,0.023384226,0.04092792,0.10079738,0.028008122000000003,10,11,11.075999999999999,86.26799999999999,1.89
99,99,109,28,0,374311,0.052008547,0.0061343909999999995,0.077634774,0.011800244,0.011067625,0.013624273000000001,0.018669672,0.018333899,0.023797814,0.021628644,0.01536807,0.012170628999999999,0.025117034,0.041398007,0.09730483599999999,0.014083942,0.006378204,0.06871605,0.018628871,0.06305123,0.044385377000000004,0.02008816,0.025015231000000002,0.010988115,0.03956877,0.04348261,0.14765306,0.051901937,7,5,11.856,21.84,3.465
101,101,111,28,0,240994,0.03482639,0.005082601,0.048311923,0.007561405,0.013277438999999999,0.01103273,0.017933339,0.009530931,0.02883017,0.036421668,0.011065665,0.011047505,0.02378671,0.00349014,0.03134445,0.012705773,0.007358303,0.035983037,0.003620006,0.014757407,0.021640697,0.012799079,0.010598231999999999,0.00281593,0.0566476,0.05373037,0.31509570000000003,0.15870479,8,5,12.168,77.61,2.835
116,116,126,28,0,173048,0.044479242999999995,0.003818588,0.023819807999999998,0.00662839,0.013094708,0.012454512,0.01520015,0.010346292,0.03104564,0.055470437000000004,0.01813921,0.0371114,0.027107472,0.005219685999999999,0.025294532999999998,0.005301974,0.006950817,0.043500893,0.003511357,0.011574069,0.023519047,0.01381663,0.010419676,0.002356731,0.07172568,0.054157954,0.29751897,0.12641615,8,5,13.962,103.896,2.205
126,126,136,28,0,151893,0.06287403400000001,0.006817111,0.08576264,0.018956188,0.011942072,0.012456791000000002,0.011772303999999999,0.01335399,0.027312557999999997,0.029413009,0.02639542,0.029651094,0.029895827000000003,0.026594456000000002,0.09580256,0.017743975,0.006778875,0.0647505,0.00498549,0.023307825,0.031577386,0.017797176,0.014805503000000001,0.0037136240000000004,0.04668481,0.049329862,0.18452947,0.04499543,7,5,14.742,105.3,1.89
145,145,155,28,0,383835,0.03902585,0.004252868,0.037126257999999995,0.007171841,0.011216938000000001,0.011397397,0.01775757,0.010892485,0.02552024,0.025045842000000002,0.017792938,0.020757813,0.037733562000000005,0.17352334,0.025207546,0.05053241,0.018872617,0.041712273,0.004859629,0.016719898,0.029334957000000002,0.016619416,0.010150749,0.0032437309999999997,0.029772019,0.04066474,0.1926785,0.08041657,10,11,18.096,83.538,2.205
158,158,168,28,0,209223,0.05061117,0.0047847079999999995,0.013835328000000001,0.010433786,0.020888496,0.014766775,0.024681538,0.010134965,0.03194476,0.02913127,0.009868448,0.009018434,0.037172093999999996,0.1623386,0.015658231,0.012446263999999999,0.011302089,0.044955403,0.024021472999999998,0.024804947999999997,0.040322393,0.022970993,0.016171446000000003,0.0044262220000000005,0.19056445,0.04583456,0.102608085,0.014303086000000001,10,11,19.734,110.76,2.205
166,166,176,28,0,319330,0.09345183,0.005081597,0.032040677999999996,0.022405004,0.015403894,0.015224988,0.029928531,0.027552333,0.027736317000000003,0.023174975,0.027682353,0.021717582000000003,0.031313978,0.10158138,0.031663727,0.015876668,0.00996227,0.086469114,0.030731311,0.033922993,0.06761017,0.018809862,0.01827149,0.003911353,0.05117666,0.041569233,0.101697825,0.01403187,10,11,20.358,2.262,1.89
171,171,181,28,0,846155,0.045527912999999996,0.009371734,0.06601681599999999,0.010316401999999999,0.01262566,0.010704295,0.03489312,0.010721786,0.018146617,0.008645782,0.007588597,0.0049653990000000005,0.04384770599999999,0.35250586,0.02399442,0.023228007999999998,0.009350351,0.05280604,0.016183402,0.03126479,0.048133228,0.031998172000000005,0.015443139,0.005914799,0.020469248,0.027566796,0.050471246,0.0072986909999999995,10,11,21.215999999999998,94.22399999999999,2.52
