,Unnamed: 0,Unnamed: 0.1,n_genes,percent_mito,n_counts,scale_SLC17A7,scale_MGP,scale_GAD1,scale_NOV,scale_RASGRF2,scale_RORB,scale_CUX2,scale_PLCXD2,scale_SULF2,scale_CTGF,scale_PCP4,scale_SEMA3E,scale_NPY,scale_SST,scale_PVALB,scale_VIP,scale_CALB2,scale_CCK,scale_RELN,scale_FOS,scale_EGR1,scale_PROK2,scale_EGR2,scale_BDNF,scale_GJA1,scale_CTSS,scale_MBP,scale_FLT1,leiden_pca,leiden_scvi,x,y,z
54,54,64,28,0,149915,0.11867851,0.00544865,0.018584508,0.004562588,0.016258959,0.00813968,0.005102817,0.0057319580000000005,0.03171361,0.033005543,0.059431393,0.019406479,0.017328236,0.000639797,0.005257165,0.001086742,0.01020123,0.04821969,0.004249758,0.019435993999999998,0.052815825,0.017317776,0.011332633,0.002997535,0.09233132,0.05066043,0.31226325,0.027797922000000003,8,6,7.956,85.64399999999999,2.52
77,77,87,28,0,244911,0.060441136,0.006273889,0.06181816,0.029317508,0.018744487,0.01721317,0.027053187000000003,0.012836392,0.034983106,0.040610638,0.012665683,0.036038537,0.03808094,0.018320536000000002,0.056604235999999995,0.01650596,0.010465138,0.06109821,0.014654852,0.016513117,0.03465724,0.016262028,0.013027601000000001,0.0030256640000000004,0.14509289,0.050252218,0.12544505,0.021998417000000003,7,6,9.906,92.118,2.205
82,82,92,28,0,189796,0.10969281,0.0032213859999999997,0.00319606,0.021193822999999997,0.017041873,0.02350482,0.064664796,0.04338736,0.027842823,0.019430805,0.01563669,0.024707736,0.019614273999999998,0.012457923999999999,0.015428996,0.00853084,0.009737387,0.10917016,0.004595665,0.087838724,0.14513919,0.022603718999999998,0.031917315,0.012712648,0.035442334,0.033177488,0.06544939,0.01266301,2,2,10.14,113.49,2.205
85,85,95,28,0,303576,0.042811117999999995,0.003010883,0.014728224,0.004176061,0.010351797,0.009638886,0.011792913,0.011835508,0.028352197000000003,0.034598146,0.02134341,0.048239958,0.022839467999999998,0.008517420999999999,0.023419943,0.0036408129999999997,0.0056678380000000006,0.035558099999999995,0.0025275939999999998,0.010133768000000001,0.018995903,0.009257843,0.00655491,0.001768835,0.031755246,0.055293858,0.35478443,0.1684049,1,5,10.686,20.202,2.835
89,89,99,28,0,147458,0.119129755,0.003792652,0.011464627,0.021590923999999997,0.015365776999999999,0.016916303,0.019615478999999998,0.032955597999999996,0.02866053,0.021048922,0.036265217,0.016211508,0.025148962,0.01858855,0.026687097000000003,0.023274082999999997,0.010479538,0.10976525,0.025275477999999997,0.0640568,0.09680422,0.019419735,0.025366097999999997,0.008427204,0.035589047,0.039428674,0.1086854,0.019986589,2,2,11.232000000000001,103.506,2.205
99,99,109,28,0,374311,0.052008547,0.0061343909999999995,0.077634774,0.011800244,0.011067625,0.013624273000000001,0.018669672,0.018333899,0.023797814,0.021628644,0.01536807,0.012170628999999999,0.025117034,0.041398007,0.09730483599999999,0.014083942,0.006378204,0.06871605,0.018628871,0.06305123,0.044385377000000004,0.02008816,0.025015231000000002,0.010988115,0.03956877,0.04348261,0.14765306,0.051901937,7,5,11.856,21.84,3.465
101,101,111,28,0,240994,0.03482639,0.005082601,0.048311923,0.007561405,0.013277438999999999,0.01103273,0.017933339,0.009530931,0.02883017,0.036421668,0.011065665,0.011047505,0.02378671,0.00349014,0.03134445,0.012705773,0.007358303,0.035983037,0.003620006,0.014757407,0.021640697,0.012799079,0.010598231999999999,0.00281593,0.0566476,0.05373037,0.31509570000000003,0.15870479,8,5,12.168,77.61,2.835
110,110,120,28,0,191163,0.1505864,0.004559677,0.010087785,0.006729946,0.016788777,0.01759174,0.04097188,0.0451353,0.028137192000000002,0.016632577,0.035027052999999995,0.011274485,0.017740991,0.006788953,0.02751849,0.004298808,0.010335038000000001,0.10761224,0.012444071999999999,0.05608260599999999,0.124873444,0.01956803,0.022804152,0.005438455,0.02670986,0.038059004,0.114566065,0.021636977999999998,7,2,13.494000000000002,101.478,3.15
115,115,125,28,0,379690,0.019220488,0.001767784,0.003532794,0.018825509,0.010008134,0.014260398,0.00454378,0.00608773,0.03149887,0.03560128,0.009006976,0.04670765,0.026215296000000003,0.003760597,0.013452861000000002,0.005898628,0.004829438,0.037004717,0.0037274170000000002,0.013214031000000001,0.013126913,0.014256735,0.015512345,0.003489939,0.10863769,0.063101545,0.34783223,0.12487815,5,6,13.728,78.39,1.89
116,116,126,28,0,173048,0.044479242999999995,0.003818588,0.023819807999999998,0.00662839,0.013094708,0.012454512,0.01520015,0.010346292,0.03104564,0.055470437000000004,0.01813921,0.0371114,0.027107472,0.005219685999999999,0.025294532999999998,0.005301974,0.006950817,0.043500893,0.003511357,0.011574069,0.023519047,0.01381663,0.010419676,0.002356731,0.07172568,0.054157954,0.29751897,0.12641615,8,5,13.962,103.896,2.205
122,122,132,28,0,404226,0.08289344,0.003468058,0.004511106,0.009153942,0.017343622,0.018393716,0.04163303,0.019540336000000002,0.035902217,0.04801146,0.02322816,0.02569801,0.022422637999999998,0.0014004920000000001,0.009420216,0.005309539,0.00914474,0.06290558,0.008789947,0.019816628,0.050619762,0.013326475,0.011026012,0.002513095,0.06264908,0.052447535,0.25177598,0.08665521400000001,1,2,14.585999999999999,5.85,1.89
126,126,136,28,0,151893,0.06287403400000001,0.006817111,0.08576264,0.018956188,0.011942072,0.012456791000000002,0.011772303999999999,0.01335399,0.027312557999999997,0.029413009,0.02639542,0.029651094,0.029895827000000003,0.026594456000000002,0.09580256,0.017743975,0.006778875,0.0647505,0.00498549,0.023307825,0.031577386,0.017797176,0.014805503000000001,0.0037136240000000004,0.04668481,0.049329862,0.18452947,0.04499543,7,5,14.742,105.3,1.89
174,174,184,28,0,283095,0.052859474000000004,0.004601779,0.042696994,0.022130227000000002,0.015092296000000002,0.014381176,0.01798375,0.01633943,0.033220007999999995,0.041222285,0.013114194,0.024255392999999997,0.03457346,0.031039393,0.050015055,0.011423543000000001,0.007549278,0.051252245999999994,0.0036709629999999997,0.03735914,0.042068668,0.020328585,0.021847855,0.0066466730000000005,0.12137784,0.046586163,0.16530415,0.051059984,7,6,21.528000000000002,98.124,1.89
255,255,266,28,0,209222,0.09947569,0.004831696,0.040498837999999995,0.020113338,0.013716318,0.014220973999999999,0.030815735,0.03172938,0.028661216,0.026717484,0.037364297000000005,0.04806802,0.026563847,0.007478553000000001,0.04442115,0.021426572999999997,0.008338315,0.08290379,0.0057678669999999994,0.048568793,0.08288479,0.018889727,0.022085276,0.006462089,0.033897214,0.04145829,0.12502345,0.027617272000000002,7,2,33.384,6.162000000000001,1.89
268,268,280,28,0,574968,0.035194583,0.011054369,0.14690053,0.021440644,0.008672109,0.013405001000000001,0.031994637,0.01216885,0.01965653,0.022084523,0.009694306,0.029770788,0.019689275,0.048899867,0.16644421,0.031298764,0.005639986,0.067101106,0.026734605,0.036610015,0.030870616,0.019334776,0.025683194,0.006046409,0.018982918999999997,0.0394777,0.06817208,0.026977584,7,5,34.632,5.6160000000000005,2.52
274,274,286,28,0,265558,0.09061847599999999,0.0043295370000000005,0.014756783999999998,0.02383468,0.016194785,0.015063438,0.013405081999999999,0.015215976,0.03434529,0.03031587,0.03428253,0.027112365,0.03320406,0.07471116,0.027233675,0.012648423,0.009857533,0.06574838599999999,0.010751149,0.013340998,0.034718852,0.013701986999999999,0.0063303000000000005,0.002179953,0.084826246,0.05409788,0.20614848,0.03102607,1,6,35.802,115.83,2.52
277,277,289,28,0,371565,0.035066646,0.004826539,0.03613552,0.012433963000000001,0.012335336,0.010923233999999999,0.006876146,0.006322208,0.02799192,0.029256636000000003,0.013399571,0.018591095,0.03202968,0.121327356,0.028867435,0.00862814,0.006308871,0.03678737,0.004163862,0.017575385,0.022188535,0.023756118,0.017144358000000002,0.004165288,0.11448245,0.04927077,0.23289438,0.06625117,1,6,35.88,117.624,1.89
282,282,294,28,0,392969,0.009206685,0.006177565,0.046116125,0.018807719,0.005951325,0.009430105,0.00952211,0.0037761590000000003,0.020034786000000002,0.013878238000000001,0.004287197,0.013628912,0.015602467,0.006483221,0.035959672000000005,0.00476086,0.003152346,0.027979199,0.002139444,0.00903421,0.006127426,0.00974234,0.007336351999999999,0.0021183179999999997,0.024364477000000002,0.06112637,0.37760309999999997,0.2456533,5,5,37.284,88.53,2.205
288,288,300,28,0,602919,0.01947504,0.004933870999999999,0.040903512,0.016047036,0.006412678000000001,0.008836387,0.013793844,0.008011154,0.022210427999999997,0.022014098,0.011289272,0.03945862,0.017883066,0.006087294,0.03793455,0.006133194000000001,0.0032991920000000003,0.03141157,0.00217197,0.016108027,0.011454394,0.009932989,0.010196814,0.0028868440000000004,0.020072293999999997,0.054013837,0.33883828,0.21818979,5,5,37.518,101.01,1.89
324,324,337,28,0,270278,0.047364365,0.004040032,0.02292465,0.010299251,0.015965145,0.016545782,0.016307455,0.011846663,0.034892645,0.058096074000000004,0.015868464,0.030014262000000003,0.03152191,0.017835936,0.03505718,0.007240694000000001,0.008089374,0.04914544,0.019199908,0.017470509,0.028012987000000003,0.017016705,0.017510096,0.003542731,0.1195315,0.05511252,0.21349216,0.07605551,7,6,41.808,52.181999999999995,2.205
334,334,347,28,0,241925,0.06328655,0.007939847,0.05924012,0.017073054,0.009235372,0.00798972,0.009738631999999999,0.011664103,0.023377914,0.037584357,0.038555726,0.03794389,0.017234031,0.015634326,0.05340718,0.007504050999999999,0.005187133,0.04498901,0.002811182,0.023795247000000002,0.032243215,0.01174527,0.010631087,0.0030782979999999997,0.019935181,0.043880075,0.25144464,0.13285081,1,5,43.523999999999994,71.83800000000001,3.465
