,Unnamed: 0,Unnamed: 0.1,n_genes,percent_mito,n_counts,scale_SLC17A7,scale_MGP,scale_GAD1,scale_NOV,scale_RASGRF2,scale_RORB,scale_CUX2,scale_PLCXD2,scale_SULF2,scale_CTGF,scale_PCP4,scale_SEMA3E,scale_NPY,scale_SST,scale_PVALB,scale_VIP,scale_CALB2,scale_CCK,scale_RELN,scale_FOS,scale_EGR1,scale_PROK2,scale_EGR2,scale_BDNF,scale_GJA1,scale_CTSS,scale_MBP,scale_FLT1,leiden_pca,leiden_scvi,x,y,z
0,0,7,24,0,464905,0.006169469,0.001572869,0.008360280999999999,0.011809674,0.004877897,0.008478251,0.017419746,0.005372671,0.018064125,0.012459014,0.0035228779999999997,0.021768466,0.003521685,6.2e-05,0.000417834,0.00238906,0.00273703,0.021730904,0.00138146,0.023501892000000003,0.005302647,0.008197484,0.009548926999999999,0.006351215,0.016367955,0.05747351,0.38964826,0.3314928,9,9,0.858,47.501999999999995,4.725
1,1,10,24,0,202874,0.15057293,0.00424752,0.002964772,0.026067505,0.019559973999999997,0.01015235,0.015608813000000001,0.02742128,0.030291706,0.06404742599999999,0.07720310000000001,0.05116365,0.001918249,6.24e-05,0.000284047,0.003331817,0.01084719,0.06692608,0.003112616,0.02724861,0.05140584,0.010729843000000001,0.005620804,0.002503741,0.028588673,0.04781545,0.22988975,0.030413922000000003,9,9,0.9359999999999999,73.086,2.52
2,2,11,24,0,218283,0.070352755,0.015116406,0.1369143,0.010267974000000001,0.009714954,0.010286066,0.009245226,0.008274090999999999,0.022299679,0.032980096,0.01986416,0.011659949,0.002108911,7.730000000000001e-05,0.000528185,0.004482051,0.0066449740000000005,0.09301206,0.006337861,0.031725384,0.024176259,0.017881842,0.014498856999999999,0.0048714940000000005,0.028439473,0.050069313,0.2982504,0.059919924000000006,9,9,1.092,89.23200000000001,1.89
3,3,12,24,0,375481,0.007445595,0.0012476569999999999,0.002716401,0.0256832,0.0060399830000000005,0.007510974,0.003387099,0.0032013140000000002,0.020277853999999998,0.012354196000000001,0.002554109,0.011410491000000002,0.002881002,5.6000000000000006e-05,0.000323742,0.001202678,0.003588847,0.02640098,0.01327914,0.014354137,0.0055202509999999995,0.010123851,0.013900899999999999,0.003430173,0.032558654,0.06411727,0.4490679,0.25536567,9,9,1.17,41.73,2.205
4,4,13,24,0,195569,0.15724939999999998,0.0042561840000000005,0.00363109,0.024521874,0.019053979,0.017767488999999997,0.024606446,0.029502177999999997,0.032461542999999995,0.03444059,0.03938254,0.018864503,0.002242537,7.47e-05,0.000314008,0.000462671,0.010410616,0.1474634,0.004855474,0.030375686000000002,0.055418025999999995,0.0176287,0.008706003,0.002905579,0.035514082999999995,0.0521115,0.20701340000000001,0.018765807,9,9,1.482,74.41199999999999,1.89
5,5,14,24,0,107971,0.013560956,0.0015764610000000001,0.0017352729999999999,0.0037052170000000002,0.010970806000000001,0.013611861000000001,0.01317589,0.006334854,0.029483592000000003,0.040575176,0.004845165,0.031886015,0.002440339,5.39e-05,0.000204592,0.000858472,0.004908508,0.037577778,0.002197118,0.022963446000000002,0.008981943000000001,0.013975156,0.016004024,0.005857803000000001,0.09024393,0.06716049,0.39800456,0.15710667,9,9,1.6380000000000001,25.272,2.52
6,6,15,24,0,668781,0.010229317,0.001612145,0.004117494,0.001916107,0.007326505,0.006722427,0.007251789,0.005874646999999999,0.020815039,0.016100675,0.005079307,0.016507734,0.00301753,6.2e-05,0.000350905,0.000387765,0.0038804679999999998,0.015144641,0.0014930079999999999,0.03941223,0.006348531,0.007328052,0.010432741,0.012451371000000001,0.050070744,0.06315653,0.48613325,0.19677702,9,9,1.794,56.706,2.835
7,7,16,24,0,144181,0.11310933,0.00344533,0.009759904,0.028493007999999997,0.011713875,0.018034777,0.018498551000000002,0.025449079,0.026144857,0.030827265,0.017234733000000002,0.03536678,0.001799667,9.77e-05,0.000498414,0.0027177209999999998,0.0075499040000000005,0.14390907,0.009679854,0.11140742,0.05226522,0.033190846,0.029929518999999998,0.025732257999999997,0.050574414000000005,0.048764687,0.12806138,0.015744433000000002,9,9,1.716,103.038,2.52
8,8,17,24,0,142523,0.06243092,0.002957364,0.005716643,0.0019746670000000003,0.011208754,0.008822085,0.008347667,0.010058061,0.026159257,0.053104084,0.029647345,0.028651983,0.002661855,6.39e-05,0.000270507,0.000291255,0.007334286999999999,0.047945745,0.00257741,0.041287396000000004,0.026173372,0.013951418,0.014424043000000001,0.006386524,0.03592465,0.0577678,0.3958518,0.09800923,9,9,1.716,80.808,2.205
9,9,18,24,0,494767,0.09546674,0.003361078,0.0047529320000000005,0.009017522,0.010873758,0.009492313,0.002213531,0.004427826,0.025461689,0.10697304,0.061947744000000006,0.053207945,0.0019454210000000001,5.6200000000000004e-05,0.000240489,0.000504462,0.007418245,0.08066635,0.005632842,0.025148336,0.029276872000000002,0.018317636,0.012636093000000001,0.003589868,0.025052377999999997,0.05192961,0.2839738,0.066415325,9,9,1.8719999999999999,7.332000000000001,1.89
