,Unnamed: 0,Unnamed: 0.1,n_genes,percent_mito,n_counts,scale_SLC17A7,scale_MGP,scale_GAD1,scale_NOV,scale_RASGRF2,scale_RORB,scale_CUX2,scale_PLCXD2,scale_SULF2,scale_CTGF,scale_PCP4,scale_SEMA3E,scale_NPY,scale_SST,scale_PVALB,scale_VIP,scale_CALB2,scale_CCK,scale_RELN,scale_FOS,scale_EGR1,scale_PROK2,scale_EGR2,scale_BDNF,scale_GJA1,scale_CTSS,scale_MBP,scale_FLT1,leiden_pca,leiden_scvi,x,y,z
63,63,73,28,0,343838,0.013721025,0.0013206770000000001,0.001495297,0.026260968,0.010039168000000001,0.01480802,0.009637354,0.0056274590000000005,0.029733092000000003,0.018350421999999998,0.005330079000000001,0.016262328,0.023350697000000004,0.0038612440000000002,0.008969498000000001,0.00375947,0.004562167,0.025553897000000002,0.004018921,0.004735972,0.007000923,0.006081301,0.004679469,0.001180165,0.030136261,0.06278591,0.4060804,0.2506579,5,5,8.58,29.25,2.52
66,66,76,28,0,449327,0.005064844000000001,0.001046494,0.00262449,0.0064455269999999995,0.006425445,0.011352973999999998,0.004934065,0.003733863,0.023749667999999998,0.017024038000000002,0.0028413220000000003,0.024514953,0.018096292,0.003199431,0.011741218000000001,0.005837279,0.0032552159999999996,0.024209913,0.007408311999999999,0.009407198,0.005279066999999999,0.009114479,0.012320161000000001,0.0029780809999999996,0.03647019,0.064556204,0.39440948,0.2819598,5,5,8.736,50.232,2.52
68,68,78,28,0,852198,0.008708822,0.001116541,0.001983163,0.014891016000000002,0.006930476999999999,0.007549963000000001,0.007245807,0.00467376,0.027230376,0.015086114,0.004043662,0.02330197,0.021825327999999998,0.0072205130000000005,0.010552269,0.004858289,0.003344754,0.015397048,0.001268897,0.008576379,0.007340996999999999,0.007422914,0.009095421,0.002204503,0.030279933999999998,0.061930977000000005,0.40273872,0.28318137,5,5,9.048,61.386,2.835
77,77,87,28,0,244911,0.054364044,0.00672695,0.066724196,0.02444092,0.018993387,0.017147291000000002,0.01954813,0.01291395,0.03458544,0.0453031,0.014920155,0.052941102999999996,0.03896047,0.012434045,0.06325254,0.010918332,0.009942604,0.06288313,0.012999795,0.01772378,0.029625494,0.016313972,0.011529686,0.0030759909999999997,0.15473516,0.048280098,0.11982622,0.018890027,7,7,9.906,92.118,2.205
80,80,90,28,0,325739,0.012383336000000002,0.001335047,0.002101365,0.020467922,0.00862292,0.013002333999999999,0.015546829,0.007056845999999999,0.029244557,0.025861269,0.004726925999999999,0.029414932999999997,0.022122014,0.0015437220000000002,0.007989084,0.006487434,0.004610223,0.025853926,0.001963866,0.012213605,0.00986043,0.010004271,0.01191265,0.003058598,0.035447303,0.062745675,0.35347778,0.26094508,5,5,9.906,31.59,2.52
81,81,91,28,0,229305,0.007219514000000001,0.0017207639999999998,0.005838055,0.008935110999999999,0.008191226,0.009121883,0.007525665999999999,0.003869122,0.024644751,0.016604377,0.003460936,0.017956153,0.02102559,0.003070395,0.011319227,0.0059521719999999995,0.0044603690000000005,0.020849526,0.001831863,0.004941352,0.006837431,0.009598625999999999,0.007681967,0.0017353779999999999,0.04327715,0.061622042,0.43441534,0.24629402,5,5,10.14,40.326,2.205
83,83,93,28,0,349577,0.0057674,0.000998551,0.002860638,0.012742668,0.006148423,0.01011694,0.003621182,0.003780177,0.02557602,0.017320458,0.0028230890000000004,0.02680119,0.020862723,0.004246087,0.012880531,0.009296479,0.0033851140000000003,0.023172414,0.0021427160000000002,0.013337327,0.006132948,0.009406731,0.014327103,0.004284065,0.0372226,0.06551954,0.38592990000000005,0.26929697,5,5,10.14,51.636,3.15
85,85,95,28,0,303576,0.036362365,0.002932819,0.014170793000000001,0.005643605,0.010779968000000001,0.010553581999999999,0.009171558,0.007882212,0.03105543,0.03281732,0.01971343,0.05267178,0.025929535,0.00703913,0.0241297,0.007100499000000001,0.005836355,0.03811628,0.0030402059999999997,0.008123328,0.014513642,0.010379834000000001,0.006274131,0.0018204039999999999,0.030040959,0.059822183,0.37212124,0.15195770000000003,1,5,10.686,20.202,2.835
86,86,96,28,0,613459,0.007813716,0.001258306,0.0026727870000000003,0.008852170999999999,0.008133491999999999,0.00941621,0.0050842809999999995,0.004885093,0.026179668,0.017224496000000002,0.003854699,0.020058816,0.022301944,0.003637364,0.011611625,0.007840323,0.004168143,0.02009109,0.0015455710000000001,0.013532502,0.007711115,0.009515733,0.013305368,0.004010492,0.058801837,0.06143404,0.41389757,0.23116152,5,5,10.842,57.174,2.52
87,87,97,28,0,222363,0.08508899,0.00332738,0.011602794,0.005513695999999999,0.0131209,0.012911508,0.006229116,0.014563816,0.031276423,0.04163281,0.053114764,0.038573228,0.027412597,0.010031221,0.024509082,0.008595579,0.0073812290000000004,0.06376632,0.0036463290000000002,0.045639504000000004,0.05871379400000001,0.019165564,0.021267856,0.007497302,0.052798457,0.04799484,0.21858594,0.06603898,1,5,11.075999999999999,5.226,2.52
