,Unnamed: 0,Unnamed: 0.1,n_genes,percent_mito,n_counts,scale_SLC17A7,scale_MGP,scale_GAD1,scale_NOV,scale_RASGRF2,scale_RORB,scale_CUX2,scale_PLCXD2,scale_SULF2,scale_CTGF,scale_PCP4,scale_SEMA3E,scale_NPY,scale_SST,scale_PVALB,scale_VIP,scale_CALB2,scale_CCK,scale_RELN,scale_FOS,scale_EGR1,scale_PROK2,scale_EGR2,scale_BDNF,scale_GJA1,scale_CTSS,scale_MBP,scale_FLT1,leiden_pca,leiden_scvi,x,y,z
60,60,70,28,0,152089,0.03848684,0.002267489,0.005117969,0.007177348,0.01277335,0.017181952,0.020905662,0.012477363,0.03428743,0.047877155,0.012446506000000001,0.034482352,0.028444498999999998,0.009308947,0.016994912,0.005987241,0.0063527390000000005,0.045185885999999995,0.005410799,0.017744455,0.026969299,0.014824593999999998,0.015541591,0.0034712540000000004,0.06131466,0.05623642400000001,0.28519678,0.15553454,8,4,8.502,101.634,3.15
61,61,71,28,0,223352,0.024572115,0.0026525240000000003,0.012795404,0.028502816,0.011180203,0.01422441,0.013199883999999999,0.007599407,0.030403483999999998,0.042894777,0.007198225,0.020151323,0.02447359,0.0031764479999999997,0.018384317,0.005007006,0.006101924,0.038880087,0.006966892,0.015356372,0.016315725,0.014646106,0.015194358,0.003254424,0.06701012,0.058094077,0.31459000000000004,0.17717397,5,4,8.424,32.994,2.52
63,63,73,28,0,343838,0.015353302,0.001409675,0.0015604220000000001,0.021616925,0.010042908,0.012724256000000001,0.01238333,0.006213196999999999,0.028051054,0.017462708,0.00576417,0.019114155,0.02174888,0.0033752070000000003,0.008402796,0.003569997,0.004866074000000001,0.024203548,0.002506034,0.00428172,0.008221673,0.004959359,0.0028889640000000004,0.000995154,0.027448777,0.061173417,0.40196484,0.26769742,5,4,8.58,29.25,2.52
64,64,74,28,0,403678,0.04137265,0.005579495,0.03315691,0.009286972,0.011024141000000001,0.014001305,0.036104355,0.01290759,0.019788777,0.017218543,0.007951762,0.016389802,0.04090632,0.28261554,0.018556246999999998,0.037050825,0.008605887,0.06666763,0.029049477,0.051806442,0.055105537,0.03325246,0.023901163,0.012716907,0.020537822,0.03310623,0.045258652,0.016080558000000002,10,11,8.736,94.926,2.205
65,65,75,28,0,355382,0.009484439,0.001088038,0.001249067,0.011433748999999998,0.007798529,0.010503703999999999,0.0033573270000000002,0.003558816,0.02489667,0.018408692,0.003765674,0.022134942999999997,0.020466238,0.001161347,0.005287732,0.002251389,0.0035887270000000003,0.022813012999999997,0.0072469330000000005,0.007972136999999999,0.007076804,0.007674299,0.010352884,0.0020118270000000003,0.033751346,0.06519758,0.40056825,0.28489977,5,4,8.892000000000001,30.498,1.89
66,66,76,28,0,449327,0.005540471999999999,0.001273859,0.004213692,0.005727938,0.005840702,0.010096825,0.005892418000000001,0.004887355,0.020883773,0.019657442,0.003114163,0.028882096,0.019661162,0.001828575,0.010148341,0.003063557,0.00304734,0.023297292999999997,0.009542624,0.009901913,0.005755499,0.008779681,0.012197636999999999,0.003027624,0.039820544,0.062680684,0.39461502,0.27662176,5,4,8.736,50.232,2.52
68,68,78,28,0,852198,0.007554698,0.001077593,0.002089525,0.012177172,0.006925298000000001,0.007820873,0.006791349,0.005365406999999999,0.027004275,0.014980135,0.003126675,0.024221396,0.024475534,0.007899197,0.010207245,0.005294131999999999,0.003512152,0.013614474,0.0011109219999999999,0.008838916,0.006910800999999999,0.0061551999999999996,0.008215237,0.002265129,0.03699431,0.057044685,0.38544267,0.30288503,5,4,9.048,61.386,2.835
69,69,79,28,0,331110,0.071488105,0.004747888,0.029191467999999998,0.003541392,0.012584284,0.010645996999999999,0.015825948,0.019564845,0.025116425,0.021530418,0.032365136,0.025679255,0.029742485,0.14360708,0.02159109,0.010627903000000001,0.007288357,0.056210946,0.0036663090000000004,0.046166465,0.060303777,0.02218565,0.01706053,0.006940376999999999,0.04009528,0.04205213,0.17934412,0.040836304,10,11,8.97,7.254,3.465
70,70,80,28,0,755725,0.01122476,0.001553341,0.007403514,0.012528859,0.006402796,0.011119021000000002,0.008641745,0.006387453,0.022693414,0.015654232,0.004350146,0.016548683999999998,0.021385927000000002,0.002043361,0.011736068,0.010347708,0.004024344,0.030456802,0.013059511999999999,0.015620014,0.0075013530000000005,0.009104743,0.013955481,0.004067838,0.024229523,0.059995322999999996,0.36068845,0.28727558,5,4,9.048,52.88399999999999,1.89
75,75,85,28,0,295733,0.038797878,0.002303104,0.006383206999999999,0.005671098,0.009342504,0.009892956999999999,0.007575149000000001,0.009847263,0.027930507,0.025943672,0.019641545,0.031230602000000003,0.027839726000000002,0.07218763,0.012765057,0.010813676999999999,0.006586394000000001,0.0361389,0.003196151,0.015348023,0.021873842999999997,0.013260188000000001,0.010466605,0.002747173,0.028911501000000003,0.049912054000000004,0.32795805,0.16543551,5,11,9.594,73.476,2.205
76,76,86,28,0,177753,0.111968234,0.003583421,0.004516095,0.021415051,0.013876101000000002,0.008405069,0.003043007,0.005522276,0.0314134,0.036365352999999996,0.0565827,0.018689511000000002,0.023657477000000003,0.025468132,0.01690509,0.004559048,0.008700912,0.049724348,0.0032969009999999997,0.017551444,0.054823905,0.012516329,0.008764456,0.002441359,0.033694707000000004,0.048047133,0.28048158,0.09398694,8,4,9.75,88.14,2.52
80,80,90,28,0,325739,0.009983038,0.001164387,0.001426571,0.020066364,0.0077671680000000005,0.011776538999999999,0.015195914,0.00661225,0.026289154,0.021684231,0.003950266,0.027242372,0.018961536,0.00111195,0.0051862290000000005,0.003089002,0.003715355,0.021171216,0.0015935489999999999,0.010901352,0.008737459,0.008160513000000001,0.009450824,0.002356629,0.035276547000000005,0.059416335,0.38925654,0.26845676,5,4,9.906,31.59,2.52
81,81,91,28,0,229305,0.007214007,0.00161375,0.005560925,0.007547258,0.007408249,0.009993486,0.006512101,0.004008106,0.024372462,0.018923638,0.003320525,0.021924809,0.021551996,0.00287689,0.013974315,0.009939957,0.004276445,0.023124093,0.002186887,0.0052949830000000005,0.006379089,0.008476481,0.008076908,0.001715986,0.050752364,0.061816223,0.39652765,0.2646304,5,4,10.14,40.326,2.205
83,83,93,28,0,349577,0.007383496999999999,0.0012484389999999998,0.004949811,0.009817766,0.005949735,0.009547646,0.004986133,0.00411799,0.024788743,0.016380915,0.003129195,0.029491205,0.023532325,0.011265935,0.012609785,0.008860141,0.0033017159999999997,0.023459012,0.002120312,0.011077926,0.0059431219999999995,0.009416819,0.012516247,0.00333251,0.035379402000000004,0.060928624,0.38865915,0.26580590000000004,5,4,10.14,51.636,3.15
86,86,96,28,0,613459,0.007260718,0.001365144,0.0035668270000000003,0.005644553,0.007201119000000001,0.007934621,0.0055892319999999995,0.0048530990000000005,0.024638154,0.015109181000000001,0.003481466,0.019051867,0.022121612000000002,0.003417134,0.011063301000000001,0.007698671,0.0041155670000000005,0.016439898,0.001328929,0.012363521,0.006851156,0.007705646,0.010551956999999999,0.003474195,0.04766627,0.058740836,0.40745490000000006,0.27331042,5,4,10.842,57.174,2.52
