,x,y,z
0,0.858,47.501999999999995,4.725
1,0.936,73.086,2.52
2,1.092,89.23200000000001,1.89
3,1.17,41.73,2.205
4,1.482,74.41199999999999,1.89
5,1.6380000000000001,25.272,2.52
6,1.794,56.706,2.835
7,1.716,103.038,2.52
8,1.716,80.808,2.205
9,1.872,7.332000000000001,1.89
10,2.106,15.288,1.89
11,2.496,64.27199999999999,2.835
12,2.262,50.778,2.205
13,2.418,118.95,2.52
14,2.964,40.092,3.78
15,2.964,9.126,3.78
16,3.12,21.294,1.89
17,3.042,58.11,1.89
18,2.8080000000000003,68.172,5.04
19,3.3539999999999996,53.118,3.78
20,3.588,11.856,3.78
21,3.744,16.848,3.15
22,3.9,63.102,2.205
23,3.978,22.386,3.15
24,3.978,13.494000000000002,1.89
25,4.1339999999999995,79.014,2.205
26,4.212,89.07600000000001,2.205
27,4.368,35.568000000000005,1.89
28,4.446000000000001,55.302,1.89
29,4.446000000000001,88.06200000000001,2.52
30,4.602,46.8,1.89
31,4.914,17.55,2.52
32,5.07,10.92,2.205
33,5.07,37.518,2.205
34,5.148,50.31,1.89
35,5.303999999999999,21.918000000000003,3.15
36,5.303999999999999,74.49,1.89
37,5.46,104.13,1.89
38,5.85,106.93799999999999,1.89
39,5.928,87.204,1.89
40,6.318,5.928,2.205
41,6.24,10.92,1.89
42,6.24,50.856,2.205
43,6.24,96.01799999999999,1.89
44,6.162000000000001,19.032,3.78
45,6.5520000000000005,84.396,2.205
46,6.864,65.52,2.205
47,6.7860000000000005,75.426,2.52
48,7.487999999999999,50.232,11.025
49,7.176,73.944,2.52
50,7.02,26.676,6.615
51,7.332000000000001,22.074,1.89
52,7.41,53.898,2.835
53,7.8,5.148,1.89
54,7.956,85.64399999999999,2.52
55,8.267999999999999,90.324,1.89
56,7.956,65.598,1.89
57,8.19,74.178,1.89
58,8.267999999999999,9.048,3.465
59,8.346,83.694,2.205
60,8.502,101.634,3.15
61,8.424,32.994,2.52
62,8.424,36.348,1.89
63,8.58,29.25,2.52
